"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"HYH","931","2014-10-21","2018-07-18","0","NULL","NULL"
"HYI","2214","2010-10-27","2019-08-14","0","NULL","NULL"
"HYLS","1625","2013-02-27","2019-08-09","0","NULL","NULL"
"HYND","1420","2013-12-18","2019-08-09","0","NULL","NULL"
"HYRE","284","2018-06-27","2019-08-13","4","2019-02-14","2019-08-14"
"HYT","4082","2003-05-29","2019-08-14","0","NULL","NULL"
"HYXE","792","2016-06-17","2019-08-09","0","NULL","NULL"
"HYZD","1420","2013-12-18","2019-08-09","0","NULL","NULL"
"HZN","1038","2015-07-01","2019-08-14","17","2015-08-10","2019-08-08"
"HZNP","2022","2011-07-28","2019-08-09","32","2011-11-14","2019-08-07"
"HZO","5335","1998-06-03","2019-08-14","42","2009-05-07","2019-07-25"
"I","1593","2013-04-18","2019-08-14","26","2013-05-09","2019-07-30"
"IAC","5436","1998-01-02","2019-08-09","23","2014-02-05","2019-08-07"
"IAE","3118","2007-03-28","2019-08-14","0","NULL","NULL"
"IAF","5436","1998-01-02","2019-08-09","0","NULL","NULL"
"IAG","4050","2003-07-15","2019-08-14","43","2009-05-14","2019-08-07"
"IAM","367","2017-10-09","2019-03-29","0","NULL","NULL"
"IAMXR","147","2017-10-09","2019-02-20","0","NULL","NULL"
"IAMXW","216","2017-10-09","2019-02-20","0","NULL","NULL"
"IART","5436","1998-01-02","2019-08-09","42","2009-05-06","2019-07-24"
"IBA","5439","1998-01-02","2019-08-14","39","2009-07-23","2019-01-30"
"IBB","4652","2001-02-12","2019-08-09","0","NULL","NULL"
"IBCP","4680","2001-01-02","2019-08-09","41","2009-07-28","2019-07-25"
"IBIO","2763","2008-08-19","2019-08-09","13","2015-05-15","2018-11-13"
"IBKC","5436","1998-01-02","2019-08-09","41","2009-07-21","2019-07-19"
"IBKCN","94","2019-03-29","2019-08-12","0","NULL","NULL"
"IBKCO","808","2016-05-23","2019-08-09","0","NULL","NULL"
"IBKCP","993","2015-08-31","2019-08-09","0","NULL","NULL"
"IBKR","3089","2007-05-04","2019-08-09","40","2009-10-22","2019-07-16"
"IBM","5439","1998-01-02","2019-08-14","41","2009-07-16","2019-07-17"
"IBN","4876","2000-03-28","2019-08-14","38","2009-07-25","2019-05-14"
"IBO","442","2017-10-17","2019-07-26","0","NULL","NULL"
"IBOC","5436","1998-01-02","2019-08-09","38","2009-08-04","2018-11-07"
"IBP","1385","2014-02-13","2019-08-14","23","2014-03-26","2019-08-08"
"IBTX","1600","2013-04-04","2019-08-09","26","2013-04-30","2019-07-22"
"IBUY","833","2016-04-20","2019-08-09","0","NULL","NULL"
"ICAD","5436","1998-01-02","2019-08-09","41","2009-07-29","2019-08-01"
"ICB","4637","2000-01-03","2018-07-10","0","NULL","NULL"
"ICBK","1149","2015-01-16","2019-08-09","18","2015-04-22","2019-07-18"
"ICCC","5436","1998-01-02","2019-08-09","39","2009-05-05","2018-11-13"
"ICCH","594","2017-03-28","2019-08-09","7","2017-05-15","2018-11-06"
"ICD","1263","2014-08-08","2019-08-14","21","2014-09-11","2019-08-01"
"ICE","3458","2005-11-16","2019-08-14","42","2009-05-05","2019-08-01"
"ICFI","3238","2006-09-28","2019-08-09","42","2009-05-05","2019-08-01"
"ICHR","670","2016-12-09","2019-08-09","11","2017-02-09","2019-08-06"
"ICL","1231","2014-09-24","2019-08-14","20","2014-11-11","2019-07-31"
"ICLK","410","2017-12-21","2019-08-09","6","2018-03-28","2019-05-29"
"ICLN","2801","2008-06-25","2019-08-09","0","NULL","NULL"
"ICLR","5344","1998-05-15","2019-08-09","41","2009-07-22","2019-07-24"
